pivot_row,Faecalibacterium cf. prausnitzii KLE1255 :: AP326E6,Subdoligranulum sp. (group 3) :: APMFZ32,Bifidobacterium animalis subsp. lactis :: AP9HM4R
BM00025109,25.833836,23.104296,NaN
BM00026086,24.583622,22.662859,27.576824
BM00024140,22.538782,24.782776,NaN
BM00026037,24.61799,29.98324,NaN
BM00024130,25.152971,22.19059,20.734322
BM00027084,23.58611,22.373611,21.36715
BM00028117,21.775633,24.310852,28.956255
BM00024088,24.609741,25.337847,NaN
BM00028064,22.7293,23.259949,NaN
BM00024089,22.01964,25.746304,NaN
